case,Dice,IoU,TP,FP,FN
case_076,0.9278372172199726,0.8653883832958361,128087,5661,14263
case_077,0.8826124387074695,0.7898892642822277,82530,3477,18476
case_078,0.9046600919144953,0.8259172200670656,100491,12351,8830
case_079,0.9122421187078656,0.8386444579231404,107848,12333,8417
case_080,0.9443554722910498,0.8945771493180289,62505,2900,4466
case_081,0.9126170548671035,0.8392784335564196,84397,12227,3935
case_082,0.8940204418875084,0.8083516872710369,73037,2244,15072
case_083,0.9372403575198273,0.8818930641105077,96786,6473,6489
case_084,0.8505189640120283,0.739915611814346,92064,31774,587
case_085,0.8741724177240721,0.7764709547770006,49844,7611,6738
case_086,0.9157012259341956,0.8445100629419535,195624,8197,27821
case_087,0.8834722107960088,0.7912675522620577,112758,12079,17666
case_088,0.9062856389799839,0.8286310130688664,89401,7910,10579
case_089,0.9380808642465644,0.8833825784493399,94476,5594,6878
case_090,0.8127425020264794,0.6845545329582798,75199,9854,24798
case_091,0.8855104418405368,0.7945435068076577,137955,4536,31137
case_092,0.9260334829926408,0.862255450545201,147162,11987,11522
case_093,0.9473483262310023,0.8999637295393651,153838,2988,14112
case_094,0.944810290180632,0.8953937679532232,61407,4689,2485
case_095,0.9003877278688712,0.8188229166666666,78607,14505,2888
case_096,0.8998088241239698,0.8178658799071847,77896,8445,8902
case_097,0.9067851880480204,0.829466613637368,93850,16626,2669
case_098,0.9162812109520574,0.8454972085120155,104495,9185,9910
case_099,0.9102970183939656,0.8353625104818422,103605,4076,16343
case_100,0.9170868320334719,0.8468701454203927,190257,23044,11358
case_101,0.9374338693170977,0.8822357896111528,108088,5210,9218
case_102,0.9430701775583247,0.8922732214894676,175619,12328,8875
case_103,0.6941482257264366,0.5315673948619373,81855,698,71435
case_104,0.9340317058462949,0.8762284122041759,93710,6574,6663
case_105,0.8892883433482273,0.8006473489519113,77919,9526,9875
case_106,0.8461891596870122,0.7333863837312113,82946,26776,3378
case_107,0.9336968389226624,0.87563919249691,144526,16970,3556
case_108,0.9331542494011046,0.874685256867977,93098,9048,4290
case_109,0.8931696379744066,0.806961634427728,130660,20367,10889
case_110,0.9142898538725835,0.8421122867219522,88346,3494,13070
case_111,0.918053326696817,0.8485199403534376,106978,11668,7430
case_112,0.8771567899500311,0.7811925851259285,109274,24439,6168
case_113,0.8941132845091314,0.8085035040069745,72336,15994,1139
case_114,0.8918129587526938,0.8047494922417834,97868,4300,19445
case_115,0.869437883196343,0.7690315023595796,68280,7619,12888
case_116,0.9181508471899466,0.848686570401328,101738,8712,9427
case_117,0.9231414740454525,0.8572541813021936,147410,20353,4193
case_118,0.8964844736177733,0.8123895424986131,142039,4747,28055
case_119,0.9445145955581965,0.894862772695285,197098,6532,16625
case_120,0.9265997174605992,0.8632378177398019,193165,27526,3077
case_121,0.9265968246721651,0.8632327963713796,308503,13340,35538
case_122,0.8708396578241071,0.7712276328674441,86632,11453,14245
case_123,0.9045494908371458,0.8257328681406196,87095,2186,16195
case_124,0.9308123138033764,0.8705789692682637,234332,15076,19760
case_125,0.8605920940646563,0.7552976327281085,32863,6893,3754
case_126,0.9167967304381406,0.8463755199049317,85467,11848,3665
case_127,0.7631276644627677,0.6169817551391067,74735,6733,39662
case_128,0.8607200562249578,0.7554947850419741,59397,17658,1565
case_129,0.8478938088669231,0.7359510914814492,92813,665,32635
case_130,0.8882181499966628,0.7989140585394487,59885,10239,4834
case_131,0.8372589302845804,0.7200734128102134,89454,4146,30629
case_132,0.9069247779027816,0.8297002434678914,116889,12646,11346
case_133,0.9364743017554753,0.8805375397145901,180976,8386,16167
case_134,0.8768002184151252,0.7806271268838114,57807,12819,3426
case_135,0.8868764483473595,0.7967457404262313,72715,10961,7589
case_136,0.9088230465475975,0.8328832859529787,105179,1681,19423
case_137,0.8958044732340871,0.8112734126516669,68869,5490,10531
case_138,0.8949125922617225,0.8098115913684073,124217,3031,26142
case_139,0.8901777755287138,0.8020904212409246,114342,947,27266
case_140,0.9510713391287285,0.9067073620990966,184184,9692,9259
case_141,0.8168130916922826,0.6903500080647019,59921,10006,16871
case_142,0.80318750561708,0.6711055486024197,40216,19675,34
case_143,0.9154539333989331,0.8440894873815151,176765,24841,7809
case_144,0.9241485585231491,0.8589927223172605,148129,12407,11909
case_145,0.9426672971156957,0.8915521997420375,189396,8377,14661
case_146,0.8861638130495141,0.7955961778147072,49790,1995,10797
case_147,0.8367343018677048,0.7192976662263321,65341,4329,21170
case_148,0.8999083514721045,0.8180303456319576,78553,6384,11090
case_149,0.8733179706093461,0.775123724198978,57794,5713,11054
case_150,0.8681895389490201,0.7670803273392914,56991,8602,8703
case_151,0.937442614246048,0.8822512805563653,127113,12868,4097
